,Venue,Venue Postal Code,Venue Latitude,Venue Longitude,Venue Category
251,Starbucks,10017,40.7521661695701,-73.97538900375366,Coffee Shop
252,Starbucks,10017,40.74999880823681,-73.97275223074156,Coffee Shop
253,Starbucks,10017,40.75099963907575,-73.97505692268861,Coffee Shop
254,Starbucks,10017,40.75302053,-73.97508865,Coffee Shop
255,Starbucks,10017,40.75206988287237,-73.9753553703802,Coffee Shop
256,Starbucks,11204,40.61917,-73.989914,Coffee Shop
257,Starbucks,10001,40.75012123722105,-74.00397732719665,Coffee Shop
258,Starbucks,11356,40.783751,-73.833273,Coffee Shop
259,Starbucks,11223,40.600619,-73.975599,Coffee Shop
260,Starbucks,11101,40.75587575355485,-73.92354521675513,Coffee Shop
261,Starbucks,10017,40.75696,-73.9759,Coffee Shop
262,Starbucks,10017,40.75403866,-73.97186289,Coffee Shop
263,Starbucks,10022,40.75765063202952,-73.96921981020988,Coffee Shop
264,Starbucks,10017,40.75657419,-73.97493586,Coffee Shop
265,Starbucks,10017,40.75614188748687,-73.97505941335596,Coffee Shop
266,Starbucks,10017,40.75502,-73.97322,Coffee Shop
267,Starbucks,10022,40.75951611,-73.97001621,Coffee Shop
268,Starbucks,10017,40.75645964,-73.97835262,Coffee Shop
269,Starbucks,10022,40.75683354,-73.97264878,Coffee Shop
270,Starbucks,10022,40.75837305,-73.97418548,Coffee Shop
271,Starbucks,10022,40.756664511056414,-73.97439689249605,Coffee Shop
272,Starbucks,10019,40.761845,-73.9787,Coffee Shop
273,Starbucks,10022,40.75764651,-73.97101961,Coffee Shop
274,Starbucks,10022,40.756086423412924,-73.9749708319223,Coffee Shop
275,Starbucks,10017,40.7515383,-73.97362889,Coffee Shop
276,Starbucks,10022,40.75497057,-73.96855471,Coffee Shop
277,Starbucks,10019,40.76072487,-73.9787691,Coffee Shop
278,Starbucks,10022,40.76242946,-73.9739688,Coffee Shop
279,Starbucks,10020,40.75953488433791,-73.98098084615312,Coffee Shop
280,Starbucks,10022,40.75879379,-73.97089843,Coffee Shop
281,Starbucks,10022,40.759620724618834,-73.97365629673004,Coffee Shop
282,Starbucks,10036,40.75814852475969,-73.97941981951507,Coffee Shop
283,Starbucks,10017,40.756089,-73.975834,Coffee Shop
284,Starbucks,10017,40.75313643552165,-73.97411150254091,Coffee Shop
285,Starbucks,10017,40.752750396728516,-73.97411346435547,Coffee Shop
286,Starbucks Barnes & Noble,10022,40.75839552650354,-73.96939242602895,Coffee Shop
287,Starbucks,11385,40.70802415,-73.86921827,Coffee Shop
288,Starbucks Reserve,11211,40.717940482419294,-73.95808741450308,Coffee Shop
289,Starbucks,10019,40.763706,-73.9773,Coffee Shop
290,Starbucks,10036,40.760041,-73.985579,Coffee Shop
291,Starbucks,10036,40.75779604,-73.98251187,Coffee Shop
292,Starbucks,10019,40.76056698741214,-73.98380932982371,Coffee Shop
293,Starbucks,10019,40.76399216,-73.98258137,Coffee Shop
294,Starbucks,10019,40.764385,-73.98108,Coffee Shop
295,Starbucks,10019,40.762110813414644,-73.98363055436157,Coffee Shop
296,Starbucks,10036,40.75824934428419,-73.98588716983795,Coffee Shop
297,Starbucks Reserve,10036,40.759393,-73.985288,Coffee Shop
298,Starbucks,10019,40.76193824,-73.98191645,Coffee Shop
299,Starbucks,10019,40.76402,-73.9789,Coffee Shop
300,Starbucks,10019,40.761898,-73.978695,Coffee Shop
301,Starbucks,10019,40.762542,-73.983547,Coffee Shop
302,Starbucks,10009,40.73323,-73.98082,Coffee Shop
303,Starbucks,11229,40.6087822,-73.95859736,Coffee Shop
304,Starbucks,10314,40.58161602,-74.16644026,Coffee Shop
305,Starbucks,10314,40.57484790030712,-74.16655540466309,Coffee Shop
306,Starbucks,11414,40.66139329280071,-73.84006849857825,Coffee Shop
307,Starbucks,10022,40.755965632588385,-73.96457294699849,Coffee Shop
308,Starbucks,11101,40.750293,-73.940295,Coffee Shop
309,Starbucks,10306,40.564137,-74.114275,Coffee Shop
310,Starbucks,10019,40.76734686,-73.98290708,Coffee Shop
311,Starbucks,10023,40.77139241,-73.9824237,Coffee Shop
312,Starbucks,10023,40.76926215,-73.98480808,Coffee Shop
313,Starbucks,10019,40.767553446729536,-73.98242927075039,Coffee Shop
314,Starbucks,10019,40.76711607890241,-73.98392904541056,Coffee Shop
315,Starbucks,10019,40.76372,-73.98531,Coffee Shop
316,Starbucks,10019,40.768542548224715,-73.98178138499603,Coffee Shop
317,Starbucks,10023,40.76903742905819,-73.98224888995318,Coffee Shop
318,Starbucks,10019,40.764874,-73.97897,Coffee Shop
319,Starbucks,10019,40.7650511,-73.9817344,Coffee Shop
320,Starbucks,10023,40.77319022491625,-73.98068693174977,Coffee Shop
321,Starbucks,10023,40.77119542049054,-73.98415362980316,Coffee Shop
322,Starbucks,10019,40.763473,-73.984879,Coffee Shop
323,Starbucks,10128,40.78271518758087,-73.94816913233733,Coffee Shop
324,Starbucks,10128,40.779118,-73.94747,Coffee Shop
325,Starbucks,10128,40.782904,-73.948443,Coffee Shop
326,Starbucks,11201,40.69246853309529,-73.99097146988603,Coffee Shop
327,Starbucks,11201,40.69455558,-73.99398646,Coffee Shop
328,Starbucks,10013,40.71823,-74.00732,Coffee Shop
329,Starbucks,11385,40.69970422217683,-73.9113513942507,Coffee Shop
330,Starbucks,10314,40.58670600839008,-74.1679909947675,Coffee Shop
331,Starbucks,10012,40.722584953691005,-73.9980228047693,Coffee Shop
332,Starbucks,10012,40.727192,-73.99546,Coffee Shop
333,Starbucks,10013,40.71983316831819,-73.99925263833434,Coffee Shop
334,Starbucks,11201,40.68856768492465,-73.99290654664485,Coffee Shop
335,Starbucks,11201,40.69067089270092,-73.99192979458797,Coffee Shop
336,Starbucks,10025,40.79888,-73.96837,Coffee Shop
337,Starbucks,10025,40.79671361505307,-73.97038896939684,Coffee Shop
338,Starbucks,10463,40.87753134921497,-73.90558216359267,Coffee Shop
339,Starbucks,10025,40.804695,-73.96667,Coffee Shop
340,Starbucks,10025,40.80515,-73.960967,Coffee Shop
341,Starbucks,10023,40.77796523,-73.97827058,Coffee Shop
342,Starbucks,10075,40.77354345900875,-73.95983582452727,Coffee Shop
343,Starbucks,10021,40.771214,-73.956825,Coffee Shop
344,Starbucks,10028,40.777493,-73.95513,Coffee Shop
345,Starbucks,10028,40.77858756759863,-73.95606100559235,Coffee Shop
346,Starbucks,10026,40.80120065,-73.95946589,Coffee Shop
347,Starbucks,10314,40.612258385136464,-74.13257986307144,Coffee Shop
348,Starbucks,10001,40.747549574689174,-73.99562358856201,Coffee Shop
349,Starbucks,10001,40.753002,-73.995179,Coffee Shop
350,Starbucks,10009,40.74702447299409,-73.99574054634681,Coffee Shop
351,Starbucks,11432,40.70360122835167,-73.79936436251222,Coffee Shop
352,Starbucks,10007,40.710922,-74.010284,Coffee Shop
353,Starbucks,10038,40.71159756,-74.00672626,Coffee Shop
354,Starbucks,10007,40.713838516500275,-74.00902572737122,Coffee Shop
355,Starbucks,10007,40.7104074357571,-74.01170062726673,Coffee Shop
356,Starbucks,10007,40.715534,-74.00903,Coffee Shop
357,Starbucks,10007,40.714855,-74.005936,Coffee Shop
358,Starbucks,10007,40.71064269122443,-74.00857974826005,Coffee Shop
359,Starbucks,10007,40.714817,-74.008242,Coffee Shop
360,Starbucks,10025,40.79536902,-73.96558901,Coffee Shop
361,Starbucks,11237,40.70412063598633,-73.917724609375,Coffee Shop
362,Starbucks,11232,40.655861,-74.008338,Coffee Shop
363,Starbucks,11235,40.57664390499884,-73.93258081186627,Coffee Shop
364,Starbucks,11415,40.71444,-73.83188,Coffee Shop
365,Starbucks,10013,40.72572004349832,-74.00568558837828,Coffee Shop
366,Starbucks,10013,40.71880196675863,-74.00243121466805,Coffee Shop
367,Starbucks,10013,40.72077941894531,-74.00435638427734,Coffee Shop
368,Starbucks,10013,40.719852,-74.00495,Coffee Shop
369,Starbucks,11224,40.58122896,-73.98545095,Coffee Shop
370,Starbucks,11375,40.720978,-73.84737,Coffee Shop
371,Starbucks,10463,40.88580402,-73.91015796,Coffee Shop
372,Starbucks,10309,40.52163258,-74.23553532,Coffee Shop
373,Starbucks,11360,40.74709440008955,-73.76390218734741,Coffee Shop
374,Starbucks,10128,40.780178814498925,-73.95523059810175,Coffee Shop
375,Starbucks,10028,40.77954606415327,-73.95355245328552,Coffee Shop
376,Starbucks Reserve,10028,40.77984961470853,-73.95958442027471,Coffee Shop
377,Starbucks,10028,40.780136,-73.959564,Coffee Shop
378,Starbucks,11375,40.726219,-73.852728,Coffee Shop
379,Foundation Starbucks Cafe,10301,40.61368557296025,-74.09381804884579,Coffee Shop
380,Starbucks,10024,40.78501976,-73.97887837,Coffee Shop
381,Starbucks,10023,40.7748624132678,-73.98417544364928,Coffee Shop
382,Starbucks,10461,40.84713195,-73.84444944,Coffee Shop
383,Starbucks,11426,40.727013,-73.71402,Coffee Shop
384,Starbucks,10003,40.72449233,-73.98771484,Coffee Shop
385,Starbucks,11239,40.652225,-73.867714,Coffee Shop
386,Starbucks,10001,40.75374802982616,-73.9993136594133,Coffee Shop
387,Starbucks,10001,40.75709126774661,-74.00173902511597,Coffee Shop
388,Starbucks,10001,40.75669304729343,-74.00173902511597,Coffee Shop
389,Starbucks,10475,40.86561735082342,-73.82726323730006,Coffee Shop
390,Starbucks,11104,40.7434386661004,-73.91833037137985,Coffee Shop
391,Starbucks,10011,40.745102,-73.99874,Coffee Shop
392,Starbucks,10029,40.78588936,-73.95083696,Coffee Shop
393,Starbucks,10128,40.78714,-73.95448,Coffee Shop
394,Starbucks,10022,40.76307676,-73.97228402,Coffee Shop
395,Starbucks,10003,40.700059939926895,-73.94143175910801,Coffee Shop
396,Starbucks,10011,40.7443074129684,-73.99546217797482,Coffee Shop
397,Starbucks,10044,40.75935954636262,-73.95315311551424,Coffee Shop
398,Starbucks,10023,40.7810038,-73.98112633,Coffee Shop
399,Starbucks,10023,40.777662871882534,-73.98226166179967,Coffee Shop
400,Starbucks,10012,40.72689,-74.00026,Coffee Shop
401,Starbucks,10012,40.729655,-73.996179,Coffee Shop
402,Starbucks Machine,10012,40.725527,-73.999454,Coffee Shop
403,Starbucks,10013,40.71833,-74.000015,Coffee Shop
404,Starbucks,11360,40.78041616248073,-73.77626587653691,Coffee Shop
405,Starbucks,10009,40.72679027609397,-73.98317526186474,Coffee Shop
406,Starbucks,11201,40.702694,-73.990906,Coffee Shop
407,Starbucks,10011,40.743,-74.00034,Coffee Shop
408,Starbucks,10014,40.72758485,-74.00740732,Coffee Shop
409,Starbucks,11215,40.671978,-73.97746,Coffee Shop
410,Starbucks,10024,40.783622038328055,-73.9745597100055,Coffee Shop
411,Starbucks,10024,40.78597499067629,-73.97865825293484,Coffee Shop
